created_at,full_text,sentimen
Wed Jan 31 00:44:01 +0000 2024,"@ekowboy2 . Ambil Bansosnya  Pilihannya tetap No.1   AMIN ,ANIS MUHAIMIN  ???? https://t.co/iX5GlLtQc7",positif
Wed Jan 31 00:29:45 +0000 2024,@alisyarief @PDemokrat Yg melekat di masyarakat PD menyerahkan ke Anis Baswedan soal cawapres tapi bgt pak Anis pilih Muhaimin Iskandar PD kcw dan kluar gabung gibran..,
Wed Jan 31 00:01:39 +0000 2024,@Dahnilanzar @prabowo @gibran_tweet padahal @Fahrihamzah bilang Anis-Muhaimin bakal jadi tersangka.. eeaaaa yg bener yg mana nih bos???,negatif
Tue Jan 30 23:21:52 +0000 2024,@Utiah_Mak Aamiin alhamdulillah Smg hasil ini sama hasily nnti pd tgl 14 pebruari smg Aamiin Smg alloh ridho untuk psangn anis muhaimin Smg alloh takdirkn menang mutlak d setiap propinsi Aamiin,positif
Tue Jan 30 18:29:37 +0000 2024,Ratusan Personel Gabungan Disiapkan Amankan Kampanye AMIN di Pamekasan. ??  Polres Pamekasan siapkan ratusan personel gabungan dalam rangka pengamanan kampanye akbar Anis Baswedan dan Muhaimin… https://t.co/A9hLrMSRQl #HukumKriminal #Amin #kampanye #Pamekasan via @beritajatimcom,positif
Tue Jan 30 17:02:40 +0000 2024,Amin = Asal jangan  Anis Muhaimin ??????,negatif
Tue Jan 30 16:39:50 +0000 2024,@Penyuka_ombak Sy pilih Anis dan Muhaimin No 1,positif
Tue Jan 30 16:32:13 +0000 2024,@habiburokhman Saya beserta jutaan Rakyat indonesia yang tidak pernah di survei Oleh lembaga survey Akan memilih Capres/Cawapres No 1 Amin Anis baswedan Muhaimin.,positif
Tue Jan 30 15:03:37 +0000 2024,"@OposisiCerdas Salam perubahan dan akal sehat. Orang cerdas dan waras, pasti pilih Pak Anis Muhaimin",positif
Tue Jan 30 14:44:01 +0000 2024,"@Dahnilanzar @prabowo @gibran_tweet Iya bang tapi lagi rame pak fahri hamzah ngomong kalo pak prabowo jadi presiden, pak anis, dan pak muhaimin jadi tersangka bang, bisa tolong di cek kebeneranannya ngga bang? ??",
Tue Jan 30 13:51:08 +0000 2024,~~~~~AMIN~~~~~~  ANIS BASWEDAN  DAN MUHAIMIN ISKANDAR  PRESIDEN 2024-2029   #AMINAJADULU https://t.co/2YIVguwQ1d,positif
Tue Jan 30 13:47:12 +0000 2024,"Kocak, Fahri Hamzah: Anis Baswedan dan Muhaimin Iskandar Bakal Jadi Tersangka Setelah Pilpres https://t.co/whGkEdkAnz",negatif
Tue Jan 30 13:35:12 +0000 2024,@Projo_Pusat Tanggal 14 mari kita coblos no 1 anis muhaimin. Aamiin insya Allah barokah.,positif
Tue Jan 30 13:30:40 +0000 2024,"@marcerickson3 @IamCuteMark @psi_id Ya Allah jadikanlah pasangan Anis Muhaimin jd presiden 2024 _2029,ini doa yg sy panjatkan di setiap sholat sy akhir akhir ini,mudah mudahan di ijabah Allah SWT,amin amin yarobbal alamin",positif
Tue Jan 30 13:24:30 +0000 2024,@zzzeen Pokoknya anis-muhaimin satu putaran.. ???? Biar masyarakat indonesia tau bahwa siapapun presidennya. Bohir dibelakangnya yg menang ??,positif
Tue Jan 30 13:22:38 +0000 2024,"@nol_komatiga @Panoneham @psi_id Kami dari perwiritan yang EMAK2, mendukung bapak Anis  bapak Muhaimin untuk jadi presiden dan wakil presiden RI, Salam semangat??????",positif
Tue Jan 30 12:12:37 +0000 2024,@NenkMonica @ListyoSigitP @KPK_RI @Fahrihamzah @aniesbaswedan @cakimiNOW Kita sukseskan pemilu 2024 dengan Memenangkan paslon nomer urut 1 Pak Anis &amp  Pak Muhaimin Bismillah,positif
Tue Jan 30 11:01:08 +0000 2024,"@Dahnilanzar @prabowo @gibran_tweet prabowo menang, anis &amp  muhaimin TSK.. mantap..  https://t.co/7AopZ0eWMo",negatif
Tue Jan 30 10:48:00 +0000 2024,Insya Allah kami Rakyat Indonesia dr Sabang sampai Merauke akan berjuang dgn gigih agar Pak Anis dan Pak Muhaimin menang dalam pilpres February nanti. Insya Allah pasangan AMIN menang 1 putaran. Bismillah,positif
Tue Jan 30 10:47:43 +0000 2024,@BangEdiii Mudah2an Pak PS sehat selalu dan bisa saksikan pelantikan Anis-muhaimin sbg presiden dan wspres RI 2024-2029..,positif
Tue Jan 30 10:23:53 +0000 2024,@Fahrihamzah Anis Muhaimin masuk bui selesai pilpres,negatif
Tue Jan 30 09:52:02 +0000 2024,"@mediaindonesia Semoga Allah Tuhan YME, senantiasa memberikan perlindungan, kekuatan kepada Bapak Anis Rasyid Baswedan dan Muhaimin Iskandar, dan kemenangan dalam proses kontestasi PilPres 2024.",positif
Tue Jan 30 09:50:35 +0000 2024,@mediaindonesia mantap ...sehat sehat sahabatku makasih doanya 14 February 2024 buat pak ANIS BASWEDAN - MUHAIMIN Jadi PRESIDEN dan wakil PRESIDEN INDONESIA AMIN ????,positif
Tue Jan 30 09:40:43 +0000 2024,@mediaindonesia We love u pak Anis ?? Insyaallah anis muhaimin.,positif
Tue Jan 30 09:35:08 +0000 2024,@mediaindonesia Menang pilpres Anis - Muhaimin,positif
Tue Jan 30 08:30:36 +0000 2024,@gilang_ahm31272 Anis muhaimin gk pernah sepii,positif
Tue Jan 30 08:25:28 +0000 2024,"@msaid_didu Saya gk goblog itu fitnah murahan dan tolol, aya dan keluarga saya tetap pilih 01 Anis-Muhaimin",positif
Tue Jan 30 08:18:50 +0000 2024,"@liaasister Semoga ada rejeki nya utk datang ke JIS tgl 10 Aamiinn ,, klo blum ada rejeki nya doain aja semoga aman doain dr Riau aja ?? mau jadi bagian dr sejarah utk Anis Muhaimin ????????",positif
Tue Jan 30 08:18:33 +0000 2024,@PutraErlangga95 Insyaa alloh semua akn anis muhaimin pada waqtuy Smg alloh ridho untuk psngn 01 anis muhaimin Insyaa alloh anis menang Aamiin?????????,positif
Tue Jan 30 08:13:28 +0000 2024,"BERHARAP DISETIAP DAERAH BEKUMPUL NONTON BARENG MENYAKSIKAN KAMPANYE   AMIN = ANIS - MUHAIMIN  ""  DIGLORA/GEDUNG JAKARTA INTERNASIONAL STADIUM....  KEBANGAAN RAKYAT SERTA SELURUH BANGSA INDONESIA  Bagus Nya Di Viral Kan... .""",positif
Tue Jan 30 08:12:37 +0000 2024,"@sutanmangara BERHARAP DISETIAP DAERAH BEKUMPUL NONTON BARENG MENYAKSIKAN KAMPANYE   AMIN = ANIS - MUHAIMIN  ""  DIGLORA/GEDUNG JAKARTA INTERNASIONAL STADIUM....  KEBANGAAN RAKYAT SERTA SELURUH BANGSA INDONESIA  Bagus Nya Di Viral Kan... .""",positif
Tue Jan 30 07:12:03 +0000 2024,"@CNNIndonesia We lebih percaya sama 01,amiin.#anismuhaimin",positif
Tue Jan 30 07:08:57 +0000 2024,I don't like Ganjar-Mahfud &amp  Anies-Muhaimin,negatif
Tue Jan 30 06:43:59 +0000 2024,@FalishaHerawati @NenkMonica rakyat Indonesia butuh presiden yg   bertakwa Pa Anis dan Muhaimin....??????01??,positif
Tue Jan 30 06:11:09 +0000 2024,@mediaindonesia Pokonya Aamiin...udah pintar..cerdas..punya banyak gagasan...pendidikannya Nyata...Penghargaannya banyak dari hasil kerjanya...Ibadahnya taat...Pokoknya pemimpin idaman..komplit deh Anis Muhaimin yang selalu di hati mantap,positif
Tue Jan 30 05:42:34 +0000 2024,@mediaindonesia Pokonya Insyaallah perubahan pak Anis Baswedan presidenku dan pak Muhaimin wakil presiden ku..Masya alloh Amin ya rabbal allamin pokonya,positif
Tue Jan 30 05:10:19 +0000 2024,@yaniarsim @Fahrihamzah Yaaaa Lo siapa ko tau Anis dan Muhaimin jadi tersangka?? Rencana busuk balas dendam si orng itu ya.??????jilat terus sapa tau jadi Mentri??????.nanem singkong aja gagal eeh mau ngurus negara??????.mikir dong pake otak.,positif
Tue Jan 30 04:22:49 +0000 2024,@hipohan ditanyain food estate jawabannya langsung masuk penjara anis dan muhaimin,positif
