created_at,full_text,sentimen
Wed Jan 31 04:25:45 +0000 2024,@gennnngenn @tempodotco gasspoll memangkan ganjar-mahfud,positif
Wed Jan 31 04:25:45 +0000 2024,"Dukungan masyarakat tumbuh untuk Ganjar-Mahfud dalam menjaga kualitas udara yang bersih. Kesejahteraan berkali lipat, Indonesia Hebat ! @fillevilaiyn  #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/htJAu5Dda6",positif
Wed Jan 31 04:25:38 +0000 2024,@ch_chotimah2 Ganjar Mahfud harus didukung semua orang hebat pol,positif
Wed Jan 31 04:25:36 +0000 2024,"Ganjar-Mahfud menjadi harapan besar bagi pengelolaan sumb3r daya alam yang terencana. Ganjar Pranowo, hanya yang terbaik untuk rakyat @egegagas  #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/7Ui9opSJOf",positif
Wed Jan 31 04:25:35 +0000 2024,"Ganjar-Mahfud akan menjaga keberlanjutan danau-danau kita sebagai warisan alam berharga. Kesejahteraan berlipat ganda, Indonesia Makmur Sentosa @fannyyudiann  #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/MC4hmrd0pc",positif
Wed Jan 31 04:25:33 +0000 2024,@tempodotco salam 3 jari gasspoll kita menangkan ganjar-mahfud 🤟,positif
Wed Jan 31 04:25:25 +0000 2024,@ch_chotimah2 Gaspol semuanya mendukung Ganjar Mahfud selalu,positif
Wed Jan 31 04:25:18 +0000 2024,"Ganjar - Mahfud membuka wawasan bahwa IKN tidak hanya menciptakan lapangan kerja, tetapi juga menyediakan ruang untuk pertumbuhan ekonomi yang inklusif. Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/yz2ClnIMHl",positif
Wed Jan 31 04:25:18 +0000 2024,Pak Ganjar - Pak Mahfud berbicara dengan antusias tentang bagaimana IKN akan meningkatkan aksesibilitas terhadap pendidikan dan kesehatan. Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/iuLDQzNv16,positif
Wed Jan 31 04:25:11 +0000 2024,"Yuk, kita jadikan masa depan lebih cerah, dengan semangat dan inspirasi dari Ganjar Pranowo sama Prof Mahfud MD.#JNK #GanjarMahfudRebound https://t.co/vJbu4ntb9w",positif
Wed Jan 31 04:25:11 +0000 2024,"Dengan semangat yang menggebu-gebu, kita raih cita-cita tinggi, mengikuti semangat perjuangan Ganjar Pranowo-Prof Mahfud MD.#JNK #GanjarMahfudRebound https://t.co/BAKiKKCZKZ",positif
Wed Jan 31 04:25:11 +0000 2024,"Keberanian kaum perempuan, Gen Z, dan generasi muda dukung, terobosan positif Duet Ganjar Pranowo - Mahfud MD. #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/xGURAfeMj2",positif
