created_at,full_text,sentimen
Fri Dec 15 23:59:40 +0000 2023,@degepedelapan KTP Sakit Ganjar-Mahfud https://t.co/VY9z8zdIxc,positif
Fri Dec 15 23:59:33 +0000 2023,"Ingatkan Anak Muda, TPM Ganjar-Mahfud: Pilih yang Menjaga Demokrasi https://t.co/TpkCzI7F5b",positif
Fri Dec 15 23:59:24 +0000 2023,@degepedelapan Ganjar-Mahfud mengusung program satu keluarga miskin satu sarjana https://t.co/xpA3qtmNqQ,positif
Fri Dec 15 23:59:21 +0000 2023,Ganjar Mahfud Calon Presiden pilihan rakyat dengan segudang prestasi dan berkomitmen bersihkan Korupsi  #GanjarMahfudSatset https://t.co/PQnMSLgXEq,positif
Fri Dec 15 23:59:12 +0000 2023,@RizkiR4madani Gaspolll dong untuk Ganjar-Mahfud M3nang,positif
Fri Dec 15 23:58:52 +0000 2023,@officialinews_ kedekatan Ganjar Mahfud dengan masyarakat biasa adalah alasan mengapa Ganjar Mahfud mendapat dukungan luas masyarakat merasakan bahwa mereka adalah pemimpin yg mendengarkan dan peduli Ganjar Mahfud,positif
Fri Dec 15 23:57:32 +0000 2023,@officialinews_ Salut banget sama Pak Ganjar dan Pak Mahfud,positif
Fri Dec 15 23:57:02 +0000 2023,@ganjarpranowo Pak ganjar dan pak mahfud pasti akan memberantas korupsi kolusi nepotisme di negeri ini,positif
Fri Dec 15 23:57:01 +0000 2023,@tvOneNews kedekatan Ganjar Mahfud dengan masyarakat biasa adalah alasan mengapa Ganjar Mahfud mendapat dukungan luas masyarakat merasakan bahwa mereka adalah pemimpin yg mendengarkan dan peduli Ganjar Mahfud,positif
Fri Dec 15 23:55:56 +0000 2023,@detikcom kedekatan Ganjar Mahfud dengan masyarakat biasa adalah alasan mengapa Ganjar Mahfud mendapat dukungan luas masyarakat merasakan bahwa mereka adalah pemimpin yg mendengarkan dan peduli Ganjar Mahfud,
Fri Dec 15 23:55:45 +0000 2023,@Dennysiregar7 Memang ya pilihan terbaik itu hanya Ganjar Mahfud,positif
Fri Dec 15 23:55:20 +0000 2023,@officialinews_ Tetap pilih Ganjar Mahfud,positif
Fri Dec 15 23:55:10 +0000 2023,@ganjarpranowo Pak ganjar dan pak mahfud gaspol anti korupsi dan KKN mari kita sama2 wujudkan cita2 mulia mereka,positif
Fri Dec 15 23:53:02 +0000 2023,"Integritas, Kualitas dan Intelektualitas. Ganjar-Mahfud punya ketiganya.",positif
Fri Dec 15 23:51:38 +0000 2023,"@SlamB17 @PDI_Perjuangan Klo ini lagi broken heart bukan fall in love..  @PDI_Perjuangan apa gara2 aku minta jd Ketum, kan bukan Anak Presiden. 😁😂🤣 . Jangan ketawa ya aki peot @YRadianto  Om @Candra4smara Tante @Ghurem2  Oma @OniMeniq74  Bro @Bungfranks  . Yang penting 2024  ❤Ganjar - Mahfud for 🇮🇩 https://t.co/b3dsC1jOKY",
Fri Dec 15 23:51:34 +0000 2023,"Program Ganjar Mahfud wujudkan satu keluarga miskin satu sarjana, semua bisa kerja  #GanjarMahfud2024  #GanjarMahfudSatset  #GanjarUntukSemua   #MyDemonEp7 Tegal Karina Na PD #DeathsGame BANGTAN DEBUT Kerasa NANA TOUR yeonjun https://t.co/C689vKhrvH",positif
Fri Dec 15 23:51:26 +0000 2023,Survei Roy Morgan : Ganjar Mahfud ungguli 2 pasangan lainnya  #GanjarMahfud2024 #GanjarMahfudSatset #GanjarUntukSemua #MyDemonEp7 Tegal Karina Na PD #DeathsGame BANGTAN DEBUT Kerasa NANA TOUR yeonjun https://t.co/4ScNtjEt2w,
Fri Dec 15 23:51:09 +0000 2023,Ganjar Mahfud sat set https://t.co/rYXYKS18BJ,positif
Fri Dec 15 23:51:08 +0000 2023,Outfit debat Pilpres Perdana Perdana.  Tidak abu-abu dan tidak ragu ragu. Satset dalam melakukan segala tugas. Ganjar Mahfud pilihan terbaik  #GanjarMahfud2024 #GanjarMahfudSatset #GanjarUntukSemua #MyDemonEp7 Tegal Karina Na PD #DeathsGame BANGTAN DEBUT Kerasa NANA TOUR yeonjun https://t.co/1REkEpz3qu,positif
Fri Dec 15 23:50:51 +0000 2023,"@hansssolo RG lagi halu membayangkan Gibran dilantik. Mimpinya jelek amat RG, mimpi itu yg indah gitu loh, yg dilantik itu Ganjar Mahfud.",
Fri Dec 15 23:50:05 +0000 2023,Ganjar Pranowo Tak Ragukan Keahlian Mahfud MD Soal Ekonomi di Debat Cawapres https://t.co/8ZHCucy36x,positif
Fri Dec 15 23:50:03 +0000 2023,"Ungkap Pencopotan 70 Baliho Ganjar-Mahfud di Banten, TPN: Dipasang Siang Hari, Malamnya Sudah Hilang https://t.co/s4zlZe32Qi",
Fri Dec 15 23:50:00 +0000 2023,"Ditanya Gen Z soal Rohingya, Ganjar: Ratifikasi ke PBB dan Jalin Komunikasi dengan ASEAN #LanjutGAN #LanjutGANsemuakerja #LanjutGANsemuamurah #GanjarSikatKorupsi #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #IndonesiaLebihBaik  https://t.co/wRDVh0P1o0",
Fri Dec 15 23:49:07 +0000 2023,Ganjar-Mahfud Calon Presiden yg pantas memimpin Indonesia!! https://t.co/AjoTnNxbBc,positif
Fri Dec 15 23:48:15 +0000 2023,@ganjarpranowo Pak ganjar tebaikkk harapan rakyat indonesia bersama pak ganjar dan pak mahfud KKN di negari ini akan di tuntaskan,positif
Fri Dec 15 23:47:36 +0000 2023,"@mesheviksus2 @great_fleet gw gk bisa mikir logikanya juga.  Kunci pemilu skrg itu di warga NU, terutama di Jatim. Anies sebenernya udah selangkah dua langkah maju di depan, walau Muhaimin sebenernya gk bagus, untuk gaet org NU. Itu kemudian diikuti sm Ganjar yg milih Mahfud MD, org NU dr Tapal Kuda.",
Fri Dec 15 23:47:11 +0000 2023,Dear buat para komandan² elit parta koalisi pendukung Ganjar Mahfud kalian wajib fokus kemenangan kagak usah tengok kanan kiri kayak kipas angin Apa kalian tdk malu kalo brmain ¹/² hati? Sedangkan kami yg bagian gempur darat sdh sgt berdarah²  Ksatria itu ngadek jejek karo sikile,
Fri Dec 15 23:46:34 +0000 2023,Ganjar Mahfud sat set https://t.co/iwOdUEZS6q,
Fri Dec 15 23:44:59 +0000 2023,"@hansssolo Buka mata, buka hati, hidup adalah kenyataan - bukan halusinasi dan mimpi.  Ganjar - Mahfud the best.",positif
Fri Dec 15 23:44:56 +0000 2023,@ganjarpranowo Benar sekali Pak Ganjar ini tidak boleh di biarkan semoga Pak Ganjar dan Pak Mahfud yang terpilih sebagai Pemimpin bangsa ini agar semua yang telah rusak ini secara di perbaiki !,positif
Fri Dec 15 23:44:26 +0000 2023,"Ngobrol santai @ganjarpranowo bareng Generasi Z dan Milenial di Mattea Social Space, Bekasi (15/12/2023). Dalam agenda tersebut penuh dengan pembelajaran seputar industri, olahraga dan seni.   Ganjar Mahfud M3nang  #GanjarMahfud2024  Gacoan https://t.co/JqsayQZ62Z",positif
Fri Dec 15 23:43:17 +0000 2023,Dukung Ganjar Mahfud https://t.co/YHGnFP9AU3,positif
Fri Dec 15 23:42:19 +0000 2023,Dukung Ganjar Mahfud https://t.co/xRE2T5P5hd,
Fri Dec 15 23:42:09 +0000 2023,@ganjarpranowo Saat nya pak Ganjar Mahfud  Tuntaskan  kurupsi di kota BB UPI say Karawang kawasan industri,positif
Fri Dec 15 23:42:00 +0000 2023,@ganjarpranowo Kasus kayak gini masih ada Pak semoga nanti pak ganjar dan Pak Mahfud bisa membereskannya,positif
Fri Dec 15 23:42:00 +0000 2023,Dukung Ganjar Mahfud https://t.co/Fb69iBfl06,
Fri Dec 15 23:41:28 +0000 2023,@MarahIchsan Sodaraku senusantara ayooo gerak cepat SAT SET coblos GANJAR MAHFUD capres cawapres paling sempurna cerdas santun sehat hasil kerja nyata perhatikan rakyat bawah tdk bnyk omong dg menata kata beretorika dn joged coblos nmr 3 Ganjar Mahfud presiden 2024 - 2029 amiiin,positif
Fri Dec 15 23:40:48 +0000 2023,"@Dennysiregar7 Lebih baik pilih Ganjar Mahfud aja, program nya semua untuk kemajuan dan kecerdasan bangsa",positif
Fri Dec 15 23:39:57 +0000 2023,Dukung Ganjar Mahfud https://t.co/pjgAsqogOU,
Fri Dec 15 23:39:47 +0000 2023,Dukung Ganjar Mahfud https://t.co/4xzlHJwVdZ,
Fri Dec 15 23:39:39 +0000 2023,Dukung Ganjar Mahfud https://t.co/KLEZ1Rc2gP,
Fri Dec 15 23:38:27 +0000 2023,@Melihat_Indo Mari bersama sama dukung pak Ganjar Mahfud untuk bisa memberikan hasil yang terbaik buat rakyatnya dan mengabdi buat rakyat 💪💪🤟🤲,
Fri Dec 15 23:38:16 +0000 2023,"Gak percuma kalau Bapak yg Satu ini dijuluki Bapak Truk Nusantara karena berperanbantu sopir truk  berantas pungli  Terbukti ketika Komunitas Driver Comal di Pemalang, Jateng, memberikan dukungan dgn kompak gambari bak truk mereka dgn Ganjar-Mahfud  https://t.co/o68xbwmkNb https://t.co/4BlU5OgJC3",
Fri Dec 15 23:37:41 +0000 2023,Hanya dengan baca ini kau pasti tahu keberpihakan Ganjar Mahfud kepada UMKM ye kan?  #GasssGanjarMahfud  .  Pic nyomot dari @SahabatSaber 🙏 . https://t.co/rSDmB7kvOQ,
Fri Dec 15 23:37:15 +0000 2023,"merakyat bukanlah sekadar kata kata kosong bagi Ganjar Mahfud, melainkan cara hidup mereka mereka sering menghabiskan waktu untuk berbicara dengan masyarakat, mendengarkan permasalahan mereka, dan mencari solusi bersama Ganjar Mahfud #KerjaB3rsamaGanjar https://t.co/ZaTtCHDGST",positif
Fri Dec 15 23:36:12 +0000 2023,Ganjar – Mahfud Akan Bentuk Kabinet Bersih dan Profesional  https://t.co/YsXSKVtrri,positif
Fri Dec 15 23:35:58 +0000 2023,"@antaranews merakyat bukanlah sekadar kata kata kosong bagi Ganjar Mahfud, melainkan cara hidup mereka mereka sering menghabiskan waktu untuk berbicara dengan masyarakat, mendengarkan permasalahan mereka, dan mencari solusi bersama Ganjar Mahfud",positif
Fri Dec 15 23:35:49 +0000 2023,@ganjarpranowo rakyat akan selalu mendukung dan menangkan pak ganjar mahfud.,positif
Fri Dec 15 23:35:17 +0000 2023,@ganjarpranowo mari berantas para koruptor bersama pak ganjar mahfud.,positif
Fri Dec 15 23:34:34 +0000 2023,Dpc Teman Ganjar Brebes siap menangkan Ganjar-Mahfud.... https://t.co/ilwqSdPjTy,
Fri Dec 15 23:34:02 +0000 2023,@Gus_Raharjo @PDI_Perjuangan Kami tim ganjar mahfud untuk di 2024 dong,
Fri Dec 15 23:33:32 +0000 2023,"@SINDOnews merakyat bukanlah sekadar kata kata kosong bagi Ganjar Mahfud, melainkan cara hidup mereka mereka sering menghabiskan waktu untuk berbicara dengan masyarakat, mendengarkan permasalahan mereka, dan mencari solusi bersama Ganjar Mahfud",
Fri Dec 15 23:32:55 +0000 2023,"@_rakyatmerdeka merakyat bukanlah sekadar kata kata kosong bagi Ganjar Mahfud, melainkan cara hidup mereka mereka sering menghabiskan waktu untuk berbicara dengan masyarakat, mendengarkan permasalahan mereka, dan mencari solusi bersama Ganjar Mahfud",
Fri Dec 15 23:32:37 +0000 2023,"@liputan6dotcom merakyat bukanlah sekadar kata kata kosong bagi Ganjar Mahfud, melainkan cara hidup mereka mereka sering menghabiskan waktu untuk berbicara dengan masyarakat, mendengarkan permasalahan mereka, dan mencari solusi bersama Ganjar Mahfud",
Fri Dec 15 23:32:35 +0000 2023,Pemimpin yang merakyat dan dicintai rakyat indonesia #GanjarMahfud https://t.co/6uOOES0EjC,
