full_text,sentimen
"@kompascom Sekedar mengingatkan, Mahfud MD sering bikin blunder, omongan nya kadang menusuk calon pasangan nya, tidak se frekwensi dgn Ganjar. Prediksi saya nggak posisi nya tetap di no 3",negatif
Hilang akal sehatku...🙈 #Pilpres2024 #AMINMempertahankanEkonomi #GanjarMahfud #PrabowoGibran https://t.co/nxHus8yhH3,negatif
@Eddhie12 @mochamadarip Nih yg ngamuk bukan pihak kami anis imin ato yth p.H ganjar dan Yg mulya. prof dr Mahfud md SH SU SIP.bukan yah...! Nih di vidio.yg ngamuk2 mah. https://t.co/Q120ZgttjY,negatif
@Oodhi_tah @islah_bahrawi Ooo klu yg dikorup 20 persen  60 T wow u modal.Nyapres dan modal ini pabrik. Yg macet sisa banyak  Kalau y 😀🤟🙏,negatif
@gladiesxyz @kaesangp @psi_id @Uki23 ya mestinya JKw jgn langgar UU nepotisme kolusi Didik anak mantu dr nol Bukan menang krn lihat nama bapaknya  Menang ga terhormat ga dihargai rakyat  Malah di hina jual martabat bapak,negatif
"@Paltiwest Keterlaluan memang Jokowi ini.diakhir jabatan baru kelihatan busuknya.Ganjar Mahfud menang satu outstanding,biar keluarga Jokowi nyungsep.",negatif
"Buka Hotline"" Aduan, TPN Ganjar-Mahfud: Laporkan jika Ada Dugaan Kecurangan Pemilu https://t.co/YS62LnfesL""",negatif
@Fahrihamzah GEMOY adlh GEMBROT &amp  LETOY.  kt memilih Presiden 2024 hrs lbh baik dr Jokowi.  Siapakah orgnya  ? 1. ANIES RB pernah dipecat Jokowi berarti tdk lbh baik dr Jokowi. 2. PRABOWO. S dua kali kalah sm Jokowi ini tbh jelek dr Jokowi. 3. Ganjar &amp  Mahfud MD apkh ini orgnya?,negatif
"1 Anies-IMIN - KELEBIHAN : Byk Gagasan &amp  Segudang Prestasi - KEKURANGAN : Tdk memiliki Modal kampanye  2 BOWO-Gibran - KELEBIHAN : Byk Uang &amp  Sgudang logistik u/ kampanye - KEKURANGAN : Tdk ada Gagasan &amp  Minum prestasi  3 Ganjar-Mahfud Sudahlah Tdk ada uang, Minim prestasi Pula🤣 https://t.co/XHqnBfzn65",negatif
"Elektabilitas Ganjar-Mahfud Merosot, Anies-Muhaimin Meroket https://t.co/2ofrTNZHRY",negatif
@KaredokLeunca__ Si emak mah dri dulu netral . Skrg jg emak netral ke Ganjar-Mahfud..cemungut ea mak..NKRI harga2 meroket 🤣🤣🤣..,negatif
"@yehovarapha_ Karena manisnya kekuasaan, orang cerdaspun jadi ikutan bego padahal tau kekuasaan yang dikejar telah melukai Hukum dan Demokrasi sebagai cita cita konstitusi dan reformasi 1998.  Pilih menang terhormat, Ganjar Pranowo dan Mahfud MD.  Gasspolll 🤟🔥🏃",negatif
@JendIsMyName__ @GunRomli Mulai ga percaya diri kayanya buat bersaing sama pak ganjar mahfud wkwk,negatif
"Kok mobil plat merah ikut cawe2 angkut baliho pasangan Ganjar - Mahfud ya, mana nih @bawaslu_RI  Gama M3nang Ahok ketua KPK Polda metro jaya langsung 4 https://t.co/BNMpJG6anU",negatif
@pol_dinasti24 @GunRomli Modal melanggar konstitusi doang jelas takut sama pasangan yang punya kredibilitas sekelas pak ganjar mahfud 😂,negatif
@GunRomli Sebegitu takutnya kah sama kemenangan pak ganjar mahfud sampe bertindak sejauh itu wkwk,negatif
@Dennysiregar7 @tempodotco Semoga saja Pak Ganjar dan Pak Mahfud nanti tidak akan mengecewakan kita semua,negatif
@alextham878 Gemoy ketakutan melihat baliho ganjar mahfud 🤣🤣 https://t.co/u2VNSfiFjf,negatif
@suchiQoe @mohmahfudmd Jangan Gentar ada Ganjar Jangan Takut ada Mahfud https://t.co/XlMJWetUoP,negatif
"@kompascom Ganjar paling bokis Tong!, potensi apa-pun jika tidak dikelola dengan baik, ya mangkrak!  Visi-Misi Ganjar-Mahfud mencakup gak potensi Papua?  Jangan asal jeplak lo Tong, haiyaa...",negatif
