created_at,full_text,sentimen
Fri Jan 19 23:59:42 +0000 2024,@budimandjatmiko @prabowo @gibran_tweet MAU 3 KALI PUTARAN KEK ! YG PENTING BUKAN PRABORO,
Fri Jan 19 23:59:09 +0000 2024,@budimandjatmiko @prabowo @gibran_tweet Preeett ...dulu disuruh pulang Ama elu ke  Jordania bg  Ha ha....udah pada kenapa ni para politisi Habis kena asam sulfat sama kaya @Fahrihamzah,
Fri Jan 19 23:59:07 +0000 2024,"Didukung kekuasaan.  didukung kekuasaan dalam bentuk  dukungan yang toxic sebenernya indikator yang sangat penting kalau Prabowo - Gibran mengizinkan segala cara untuk menang pemilu. Dikemudian hari mungkin akan terulang, yaitu mempertahankan kekuasaan dengan segala cara 🤡",
Fri Jan 19 23:59:00 +0000 2024,Indah Putri Indriani Berikan 360 Sertifikat Tanah Untuk Warga Desa Minanga Tallu #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/VgioZx6UK5,
Fri Jan 19 23:58:40 +0000 2024,@golkar_id @prabowo @gibran_tweet @airlangga_hrt Setiap orang harus militan. Konsekuen jgn plin plan,
Fri Jan 19 23:58:31 +0000 2024,"Prabowo dan Gibran, mari bersama-sama membangun Indonesia yang lebih baik. #kodekita08 PilihPrabowoGibran02 Kami mendukung kalian!",positif
Fri Jan 19 23:58:00 +0000 2024,@jokowi Tetap jokowi yg terbaik.. Prabowo gibran presiden &amp  wakil presidenku..,positif
Fri Jan 19 23:57:57 +0000 2024,@BdtFern @Catatan_ali7 @budimandjatmiko @prabowo @gibran_tweet Kalo boleh tau apa yang buat percaya sama Jokowi? Berarti jokowi ga percaya 2 paslon lainnya ya?,
Fri Jan 19 23:57:52 +0000 2024,"@MarahIchsan Kpd, Para Pendukung 02 Sadarlah &amp  Insyaf, Negara butuh Suara Kalian untuk Selamatkan Indonesia dari KETERPURUKAN, karena Prabowo tidak akan Mampu Memimpin Indonesia, kalo Prabowo, Jokowi &amp  Gibran kasih DUIT ambil aja, diBilik Suara, diKotak Suara tidak ada Yg tau kita Pilih Siapa",
Fri Jan 19 23:57:19 +0000 2024,@karniilyasclub @karniilyas Yth.bpk Karni Ilyas. Saya pengen sekali bpk menyampaikan video saya ini Kpda bpk Prabowo dan mas Gibran 🙏 https://t.co/T4D0TAYVRP,
Fri Jan 19 23:57:13 +0000 2024,"@budimandjatmiko @prabowo @gibran_tweet Mungkin bisa minta tolong di survey teman teman yg di culik, kemana harapan mereka? Apa sdh diputar arah atau bgm?",
Fri Jan 19 23:57:03 +0000 2024,"Ada mbak @okkymadasari dari @omongomongcom, bung Roy Murtadho dari @indoprogress, bang Ahmad Ashov Birry dari @TrendAsia_Org  Juga, Nur Amalia (Relawan AMIN Hijau), Dominggus Oktavianus (Wakil Ketua TKN Prabowo-Gibran), dan Gifari Shadad Ramadhan (Jubir TPN Ganjar-Mahfud)  Kuy",
Fri Jan 19 23:56:18 +0000 2024,"Prabowo dan Gibran, mari bersama-sama membangun masa depan Indonesia yang lebih baik. #kodekita08 PilihPrabowoGibran02",positif
Fri Jan 19 23:56:11 +0000 2024,@M45Broo Karna dari segi fisiknya Prabowo yg tdk memungkinkan untuk jadwal yg padat kepelosok daerah daerah seluruh indonesia dan lawatan keluar negeri dan gibran msh terlalu muda dan blm berpengalaman cukup utk menggantikan prabowo jika beliau mangkat.,positif
Fri Jan 19 23:55:57 +0000 2024,"Prabowo dan Gibran, mari bersama-sama membangun Indonesia yang lebih baik. #kodekita08 PilihPrabowoGibran02 Kami mendukung kalian!",
Fri Jan 19 23:55:43 +0000 2024,"Prabowo and Gibran, mari bersama-sama membangun masa depan Indonesia yang lebih baik. #kodekita08 PilihPrabowoGibran02 Kami mendukung kalian!",
Fri Jan 19 23:55:41 +0000 2024,"@Heraloebss @prabowo @gibran_tweet @erickthohir Setelah dukung, kemudian DUAAARR, kena bom kenaikan pajak motor. Apees apees 😏 https://t.co/RumqBThxp5",
Fri Jan 19 23:55:25 +0000 2024,"Prabowo and Gibran, mari bersama-sama membangun masa depan Indonesia yang lebih baik. #kodekita08 PilihPrabowoGibran02 Kami mendukung kalian!",
Fri Jan 19 23:55:22 +0000 2024,Sukses selalu untuk Prabowo dan Gibran!,positif
Fri Jan 19 23:55:21 +0000 2024,"@golkar_id @prabowo @gibran_tweet @airlangga_hrt Sudah tak berharap bapak menang, bapak bikin banyak orang kecewa setelah debat kemarin. Lebih baik pak Ganjar selain tulus beliau gak pernah ungkit masalah",
Fri Jan 19 23:55:09 +0000 2024,@prabowogibran2 @prabowo Besar hrpan saya kedepannya bisa ketemu pak Prabowo dan mas Gibran....02 pasti menang https://t.co/FQc03Empnx,positif
Fri Jan 19 23:54:29 +0000 2024,"Prabowo dan Gibran, mari bersama-sama membangun masa depan Indonesia yang lebih baik. #kodekita08 PilihPrabowoGibran02 Kami mendukung kalian!",
Fri Jan 19 23:54:10 +0000 2024,"Prabowo dan Gibran, mari bersama-sama membangun masa depan Indonesia yang lebih baik. #kodekita08 PilihPrabowoGibran02 Kami mendukung kalian!",
Fri Jan 19 23:53:58 +0000 2024,"Prabowo dan Gibran, mari bersama memimpin Indonesia menuju masa depan yang lebih baik!",
Fri Jan 19 23:52:23 +0000 2024,@EddiKusmana1 @prabowo @gibran_tweet @Gerindra Semangat mantab nih Balihony✌️✌️🫰🫰💙💙,positif
Fri Jan 19 23:52:20 +0000 2024,"Prabowo dan Gibran, mari bersama-sama membangun masa depan Indonesia yang lebih baik. #kodekita08 PilihPrabowoGibran02 Kami mendukung kalian!",
Sun Jan 14 23:59:24 +0000 2024,"Mari pilih pak Prabowo, kita rukun damai sejahtera.  Kerap Menang Survei, Ini Alasan Prabowo-Gibran Dinilai Bisa Menang Pilpres 2024 Satu Putaran.   https://t.co/6bSWaur5eU",positif
Sun Jan 14 23:59:23 +0000 2024,@PratamaYudha02 @DokterTifa Semoga kamu punya anak keturunan seperti  bpk prabowo atau mas gibran karna keduanya idola kamu,positif
Sun Jan 14 23:57:13 +0000 2024,Relawan Bocahe Gibran Komitmen Dukung Prabowo-Gibran dalam ... - Halo Semarang https://t.co/Eu4w7itm1w #MenangSeputaran,positif
Sun Jan 14 23:57:13 +0000 2024,Relawan Bocahe Gibran Komitmen Dukung Prabowo-Gibran dalam ... - Halo Semarang https://t.co/pIbsZRDm52 #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan,
