created_at,full_text,sentimen,,,91,8
Fri Jan 12 23:59:47 +0000 2024,@bdjkdkdgnd @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @Ghurem2 @ribonk @ARSIPAJA Ahh anda aja yg terlalu membuat2 drama,,,,,
Fri Jan 12 23:59:40 +0000 2024,@yozariam Wakakaka geli anjer  Bikin prabowo gibran juga dong  Genre age - gap,,,,,
Fri Jan 12 23:59:34 +0000 2024,"Pendukung Ganjar dan AMIN Beralih ke Prabowo-Gibran, Siap Menangkan Satu Putaran https://t.co/YvoAz2T8Cv",positif,,,,
Fri Jan 12 23:59:00 +0000 2024,Melki Laka Lena Tegaskan Penyusunan RUU Kesehatan Libatkan Partisipasi Publik #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/KdicW7oPB2,,,,,
Fri Jan 12 23:58:41 +0000 2024,"@TeddGus @prabowo @gibran_tweet Dari dulukan lembaga survey kerjaan nya memang gitu, menggiring opini lewat alat surveynya yang didanai pemodal besar",,,,,
Fri Jan 12 23:58:34 +0000 2024,Indonesia membutuhkan pemimpin yang berani dan kuat. #kodekita08 PilihPrabowoGibran02 Prabowo dan Gibran adalah jawabannya. #kodekita08 PilihPrabowoGibran02,positif,,,,
Fri Jan 12 23:58:15 +0000 2024,Saya yakin Prabowo dan Gibran akan membawa perubahan yang positif. #kodekita08 PilihPrabowoGibran02,positif,,,,
Fri Jan 12 23:58:05 +0000 2024,"Prabowo dan Gibran, teruslah berjuang demi Indonesia yang lebih baik. #kodekita08 PilihPrabowoGibran02",positif,,,,
Fri Jan 12 23:57:50 +0000 2024,@WaktunyaIDMaju Ini baru namanya kampanye sangat kreatif bukan menjatuhkan lawan keren nih 02 emng Prabowo Gibran gada lawan,positif,,,,
Fri Jan 12 23:57:49 +0000 2024,@bdjkdkdgnd @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @devy_casanofa @alisyarief @Dew0W1snu Kamu ini bukannya lagi ngegiring opini kalau survei itu bayaran ya?,,,,,
