full_text,sentimen
"@ekowboy2 . Ambil Bansosnya  Pilihannya tetap No.1   AMIN ,ANIS MUHAIMIN  ???? https://t.co/iX5GlLtQc7",positif
@Dahnilanzar @prabowo @gibran_tweet padahal @Fahrihamzah bilang Anis-Muhaimin bakal jadi tersangka.. eeaaaa yg bener yg mana nih bos???,negatif
@Utiah_Mak Aamiin alhamdulillah Smg hasil ini sama hasily nnti pd tgl 14 pebruari smg Aamiin Smg alloh ridho untuk psangn anis muhaimin Smg alloh takdirkn menang mutlak d setiap propinsi Aamiin,positif
Ratusan Personel Gabungan Disiapkan Amankan Kampanye AMIN di Pamekasan. ??  Polres Pamekasan siapkan ratusan personel gabungan dalam rangka pengamanan kampanye akbar Anis Baswedan dan Muhaimin… https://t.co/A9hLrMSRQl #HukumKriminal #Amin #kampanye #Pamekasan via @beritajatimcom,positif
Amin = Asal jangan  Anis Muhaimin ??????,negatif
@Penyuka_ombak Sy pilih Anis dan Muhaimin No 1,positif
@habiburokhman Saya beserta jutaan Rakyat indonesia yang tidak pernah di survei Oleh lembaga survey Akan memilih Capres/Cawapres No 1 Amin Anis baswedan Muhaimin.,positif
"@OposisiCerdas Salam perubahan dan akal sehat. Orang cerdas dan waras, pasti pilih Pak Anis Muhaimin",positif
~~~~~AMIN~~~~~~  ANIS BASWEDAN  DAN MUHAIMIN ISKANDAR  PRESIDEN 2024-2029   #AMINAJADULU https://t.co/2YIVguwQ1d,positif
"Kocak, Fahri Hamzah: Anis Baswedan dan Muhaimin Iskandar Bakal Jadi Tersangka Setelah Pilpres https://t.co/whGkEdkAnz",negatif
@Projo_Pusat Tanggal 14 mari kita coblos no 1 anis muhaimin. Aamiin insya Allah barokah.,positif
"@marcerickson3 @IamCuteMark @psi_id Ya Allah jadikanlah pasangan Anis Muhaimin jd presiden 2024 _2029,ini doa yg sy panjatkan di setiap sholat sy akhir akhir ini,mudah mudahan di ijabah Allah SWT,amin amin yarobbal alamin",positif
@zzzeen Pokoknya anis-muhaimin satu putaran.. ???? Biar masyarakat indonesia tau bahwa siapapun presidennya. Bohir dibelakangnya yg menang ??,positif
"@nol_komatiga @Panoneham @psi_id Kami dari perwiritan yang EMAK2, mendukung bapak Anis  bapak Muhaimin untuk jadi presiden dan wakil presiden RI, Salam semangat??????",positif
@NenkMonica @ListyoSigitP @KPK_RI @Fahrihamzah @aniesbaswedan @cakimiNOW Kita sukseskan pemilu 2024 dengan Memenangkan paslon nomer urut 1 Pak Anis &amp  Pak Muhaimin Bismillah,positif
"@Dahnilanzar @prabowo @gibran_tweet prabowo menang, anis &amp  muhaimin TSK.. mantap..  https://t.co/7AopZ0eWMo",negatif
Insya Allah kami Rakyat Indonesia dr Sabang sampai Merauke akan berjuang dgn gigih agar Pak Anis dan Pak Muhaimin menang dalam pilpres February nanti. Insya Allah pasangan AMIN menang 1 putaran. Bismillah,positif
@BangEdiii Mudah2an Pak PS sehat selalu dan bisa saksikan pelantikan Anis-muhaimin sbg presiden dan wspres RI 2024-2029..,positif
@Fahrihamzah Anis Muhaimin masuk bui selesai pilpres,negatif
"@mediaindonesia Semoga Allah Tuhan YME, senantiasa memberikan perlindungan, kekuatan kepada Bapak Anis Rasyid Baswedan dan Muhaimin Iskandar, dan kemenangan dalam proses kontestasi PilPres 2024.",positif
@mediaindonesia mantap ...sehat sehat sahabatku makasih doanya 14 February 2024 buat pak ANIS BASWEDAN - MUHAIMIN Jadi PRESIDEN dan wakil PRESIDEN INDONESIA AMIN ????,positif
@mediaindonesia We love u pak Anis ?? Insyaallah anis muhaimin.,positif
@mediaindonesia Menang pilpres Anis - Muhaimin,positif
@gilang_ahm31272 Anis muhaimin gk pernah sepii,positif
