full_text,sentimen
gasspoll memang,positif
dukung masayaarakat tumbuh jaga kualitas udara bersih sejahtera kali lipat indonesia hebat,positif
dukung semua orang hebat pol,positif
jadi harap besar kelola sumb3r daya alam rencana pranowo baik rakyat,positif
jaga lanjut danaudanau bagai waris alam harga sejahtera lipat ganda indonesia makmur sentosa,positif
salam 3 jari gasspoll menang,positif
gaspol semua dukung selalu,positif
buka wawas ikn cipta lapang kerja juga sedia ruang tumbuh ekonomi inklusif pranowo hanya dia betul rakyat akan buat,positif
bicara antusias bagaimana ikn tingkat aksesibilitas didik sehat pranowo dia betul rakyat akan buat lebih,positif
yuk jadi masa depan lebih cerah semangat inspirasi pranowo sama prof md,positif
semangat menggebugebu raih citacita tinggi ikut semangat juang pranowoprof md,positif
berani kaum perempuan gen z generasi muda dukung terobos positif duet pranowo md,positif
kita bersamasama gapai citacita tinggi semangat bangun masa depan lebih baik bagaimana ingat pranowoprof md,positif
pimpin luar biasa mantep pranowo prof md tos jadi pilih nu panggih ku sagala urang jeung sokong lengkep katempoan,positif
generasi menang siap aksi luar biasa dukung energi positif pranowo bijaksana prof md penting rakyat,positif
pranowo md pimpin oke banget keren siap bawa maju buat negeri,positif
ayo guys punya sempat buat bikin negeri makin kece yuk ikut semangat ala pranowo prof md,positif
pilpres 2024 jadi simbol satu agam maju utama pimpin bijak pranowo md,positif
dukung batas pranowo pandu cerdas prof md jadi kuat utama dorong gen z aksi luar biasa rakyat,positif
kaum perempuan daya dukung sinergi pasang pranowo md,positif
masayaarakat dukung capres cawapres pandang sumb3r daya alam kaya sama sama kita sejahtera,positif
kalian harap rakyat ingin lanjut lingkung lestari alam pranowo bukti sejahtera,positif
peduli mau makan apa tetap yakin pilih,positif
gak mainmain program p3ndidikan k3rja beneran utama tiga kali lebih sejahtera indonesia jaya,positif
nih saya suka selalu dorong anak muda aktif kreatif mantap lah kerja ba ga perlu ragu sehat selalu hebat,positif
semangat selalu mudah2an menang satu putar,positif
moga bawa indonesia tuju maju lebih besar,positif
