full_text,sentimen
dukung alih siap menang satu putar,positif
indonesia butuh pimpin berani kuat pilih02 jawab pilih02,positif
yakin bawa ubah positif pilih02,positif
terus juang indonesia lebih baik pilih02,positif
baru nama kampanye sangat kreatif bukan jatuh lawan keren nih 02 emng gada lawan,positif
dukung upaya untuk pimpin indonesia tuju makmur pilih02,positif
terus juang pilih02 percaya kalian pilih02,positif
biar tua paling milik prestasi track record baik,positif
rawan pragib 2024 deklarasi dukung detiknews,positif
terus lanjuntukan bangun ikn sama,positif
foto memang g hubung langsung sama foto ingat bejat putus 90 balik proses reformasi raih korban besar lahir cawapres lewat putus bejat,negatif
makin yakin bawa ubah lewat ikb,positif
keren kreatif banget jadi mudah ingat pokok mantap,positif
ikn lebih kembang baik sama,positif
dukung 02 playing victim fokus menang,positif
milik program sangat luar biasa lohh pikir baik rakyat indonesia,positif
tetapi jumawa sibuk urus calon ketawa guee mah,positif
yaaa wajar lah klu bu khofifah tentu pilih dia jga punya nilai plus sendiri n,positif
siap terus bangun ikn sukses,positif
tetap optimis menang satu putar,positif
program pokoknnya baik antara program capres lain,positif
dukung terus bangun ikn sama,positif
masa depan indonesia lebih baik di tangan pilih02,positif
ikn terus tumbuh pesat bawah pimpin,positif
walapun bahas kami tetap dukung,positif
dukung ikn,positif
visi misi gagas baik maju rakyat indonesia,positif
yah ngehalu kasi,negatif
dukung untuk terus alis luar biasa,positif
cakeeeep min selalu aja deh tim kampanye kreatif banget bikin milu lebih warna ceria,positif
betul makanya getol jilat siapa tahu dapet posisi ntar udah mati mati tahu tahu lepeh hahaha,negatif
makin hari makin semangat optimis,positif
ada tanding pimpin,positif
kan layak terus pimpin negara,positif
aku kira politis pintar2 nyata zonk semua bukti mau dukung putus sesat anak haram konstitusi anda2 munafik tak layak jadi panutan jadi pimpin kami muak,negatif
tetap optimis semangat,positif
kalo curang satu putar kalo netral yakin 02 jungkal tak bisa masuk 2 putar,negatif
generasi muda sudah satu suara mantap kan,positif
yakin elektabilitas unggul,positif
kita sambut milu riang gembira dukung,positif
semangat terus dukung sampe ri 1,positif
gas pol presiden ku,positif
bkn soal jilat menjilatini msalah sayastem demokrasi sdh obrak abrik olh kuasa negrijln satu2nya hrs satu untuk hancur,negatif
kalo liat mas memang luar biasa keren semangat nya,positif
memang benar paling besar peluang,positif
menang,positif
