full_text,sentimen
ambil bansosnya pilih tetap no1,positif
padahal bilang bakal jadi sangka eeaaaa bener mana nih bos,negatif
aamiin alhamdulillah smg hasil sama hasily nnti pada tgl 14 pebruari smg aamiin smg alloh ridho psangn smg alloh takdirkn menang mutlak d propinsi aamiin,positif
ratus personel gabung siap aman kampanye pamekasan polres pamekasan siap ratus personel gabung rangka aman kampanye akbar baswedan via,positif
asal jangan,negatif
saya pilih no 1,positif
serta juta rakyat indonesia tidak pernah survei lembaga survey pilih caprescawapres no 1 baswedan,positif
salam ubah akal sehat orang cerdas waras pilih,positif
baswedan iskandar presiden 20242029,positif
kocak fahri hamzah baswedan iskandar bakal jadi sangka pilpres,negatif
tanggal 14 kita coblos no 1 aamiin insayaa allah barokah,positif
allah jadi pasang jd presiden 2024 2029ini doa saya panjat tiap sholat saya akhir akhir inimudah mudah ijabah allah swt yarobbal al,positif
pokok satu putar biar masayaarakat indonesia tahu siapa presiden bohir belakang menang,positif
dari perwiritan emak2 dukung ba ba jadi presiden wakil presiden ri salam semangat,positif
sukses milu 2024 menang paslon nomer urut 1 amp bismillah,positif
menang amp tsk mantap,negatif
insayaa allah rakyat indonesia dr sabang merauke juang dgn gigih menang pilpres february insayaa allah pasang menang 1 putar bismillah,positif
mudah2an ps sehat selalu bisa saksi lantik sbg presiden wspres ri 20242029,positif
masuk bui selesai pilpres,negatif
moga allah tuhan yme senantiasa beri lindung kuat ba rasayaid baswedan iskandar menang proses kontestasi pilpres 2024,positif
mantap sehat sehat sahabat makasih doa 14 february 2024 buat baswedan jadi presiden wakil presiden indonesia,positif
we love u insayaaallah,positif
menang pilpres,positif
gk pernah sepi,positif
gk goblog fitnah murah tolol aya keluarga tetap pilih 01,positif
moga rejeki nya untuk datang jis tgl 10 aamiinn klo blum rejeki nya doain aja moga aman doain dr riau aja mau jadi bagi dr sejarah untuk,positif
insayaaa alloh semua akn waqtuy smg alloh ridho psngn 01 insayaaa alloh menang aamiin,positif
harap tiap daerah bekumpul nonton bareng saksi kampanye digloragedung jakarta internasional stadium kebangaan rakyat seluruh bangsa indonesia bagus nya viral kan,positif
we lebih percaya sama 01amiin,positif
i dont like amp anies,negatif
rakyat indonesia butuh presiden takwa pa 01,positif
poko aamiinudah pintarcerdaspunya banyak gagasanpendidikannya nyatapenghargaannya banyak hasil kerjanyaibadahnya taatpokoknya pimpin idamankomplit deh selalu hati mantap,positif
